cruise,file,time,lat,lon,opp_evt_ratio,flow_rate,file_duration,pop,n_count,abundance,fsc_small,chl_small,pe
realtime,2015-03-23T03-30-17+00-00,2015-03-23T03:30:17+00:00,4005.1248,13322.7719,0.00157418840510214,2471.3437336,180.03,prochloro,3316,284.073699357529,8.98995842665552,8.33548405341595,1.49943422824851
realtime,2015-03-23T03-30-17+00-00,2015-03-23T03:30:17+00:00,4005.1248,13322.7719,0.00157418840510214,2471.3437336,180.03,synecho,197,16.8765135022416,60.8591688654231,34.3778253976585,25.5580695411108
realtime,2015-03-23T03-30-17+00-00,2015-03-23T03:30:17+00:00,4005.1248,13322.7719,0.00157418840510214,2471.3437336,180.03,unknown,413,35.3807110478466,223.441405662793,17.8903873423397,5.83232771244732
realtime,2015-03-23T03-33-17+00-00,2015-03-23T03:33:17+00:00,4004.7141,13323.3205,0.00152256389776358,2471.3437336,180.031,picoeuk,269,23.8258034137495,720.585454100505,734.201020673309,25.8525194503048
realtime,2015-03-23T03-33-17+00-00,2015-03-23T03:33:17+00:00,4004.7141,13323.3205,0.00152256389776358,2471.3437336,180.031,prochloro,3236,286.618215044213,8.60484988766057,8.51842166546384,1.49162029344272
realtime,2015-03-23T03-33-17+00-00,2015-03-23T03:33:17+00:00,4004.7141,13323.3205,0.00152256389776358,2471.3437336,180.031,synecho,185,16.3857755819467,60.4750599584107,47.5564113644879,28.7113842723242
realtime,2015-03-23T03-33-17+00-00,2015-03-23T03:33:17+00:00,4004.7141,13323.3205,0.00152256389776358,2471.3437336,180.031,unknown,397,35.1629886812585,235.020842524101,28.9817935978327,9.23953863969366
realtime,2015-03-23T03-36-18+00-00,2015-03-23T03:36:18+00:00,4004.3056,13323.8674,0.00152526419688874,2471.3437336,180.144,picoeuk,274,24.2105012313416,687.073509696914,713.666180361178,10.6560184245625
realtime,2015-03-23T03-36-18+00-00,2015-03-23T03:36:18+00:00,4004.3056,13323.8674,0.00152526419688874,2471.3437336,180.144,prochloro,3351,296.092662869437,9.04623263966239,9.3339256689515,1.49073667022156
realtime,2015-03-23T03-36-18+00-00,2015-03-23T03:36:18+00:00,4004.3056,13323.8674,0.00152526419688874,2471.3437336,180.144,synecho,150,13.2539240317563,64.3342956687155,34.5916946394036,33.5205156012481
realtime,2015-03-23T03-36-18+00-00,2015-03-23T03:36:18+00:00,4004.3056,13323.8674,0.00152526419688874,2471.3437336,180.144,unknown,354,31.279260714945,239.150649629094,26.614467451133,3.04079158094981
realtime,2015-03-23T03-39-18+00-00,2015-03-23T03:39:18+00:00,4003.9949,13324.3148,0.00152747920778122,2471.3437336,180.027,picoeuk,306,27.0163435644394,717.719461276837,753.307842882762,5.98250579279984
realtime,2015-03-23T03-39-18+00-00,2015-03-23T03:39:18+00:00,4003.9949,13324.3148,0.00152747920778122,2471.3437336,180.027,prochloro,3318,292.941921394804,9.3218774052287,9.79487726977727,1.49221890668707
realtime,2015-03-23T03-39-18+00-00,2015-03-23T03:39:18+00:00,4003.9949,13324.3148,0.00152747920778122,2471.3437336,180.027,synecho,173,15.2739458713987,60.8114923238261,37.2992420907317,32.4272030160364
